Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Amritsar,Jaipur,Thiruvananthapuram
01-05-2018,18.64,98.77,33.37,54.06,32.08,54.46,12.64,11.04,40.11,8.97
02-05-2018,24.39,70,34.14,53.33,31.21,47.36,12.5,10.25,29.32,9.89
03-05-2018,34.25,32.62,31.77,53.34,27.73,38.1,16.8,8.35,26.94,12.9
04-05-2018,26.78,73.31,30.44,64.43,31.67,57.53,16.46,8.24,25.09,9.75
05-05-2018,33.46,79.04,46.75,65.69,30.11,81.98,14.6,8.23,34.71,9.51
06-05-2018,24.55,39.13,53.69,63.88,28.95,77.23,17.81,8.22,25.6,9.51
07-05-2018,60.58,36.82,54.75,55.62,28.72,83.89,16.28,8.26,26.45,11.28
08-05-2018,33.39,39.54,27.66,64.5,43.5,87.59,17.43,8.21,29.69,9.77
09-05-2018,27.7,47,46.09,42.53,37.73,89.41,20.86,8.25,24.3,13.19
10-05-2018,27.51,30.4,52.15,49.09,31.53,87.17,21.97,8.25,35.04,11.06
11-05-2018,39.99,27.47,65.41,77.7,31.48,33.52,23.26,8.24,46.07,10.15
12-05-2018,24.22,25.94,74.13,48.53,31.04,17.54,23.65,8.26,36.61,9.79
13-05-2018,26.31,23.98,31.22,43.8,32.48,12.48,23.83,8.22,32.45,8.45
14-05-2018,47.07,24.3,40.3,48.23,26.02,12.41,23.42,8.22,24.54,12.44
15-05-2018,41.15,25.39,39.81,61.01,24.04,47.51,24.07,8.23,27.49,15.18
16-05-2018,34.6,25.05,41.79,64,33.42,64.53,24.1,8.27,41.27,10.55
17-05-2018,24,24.77,44.14,45.31,41.31,46.29,27.83,8.35,37.41,8.35
18-05-2018,33.14,25.61,53.88,52.96,35.51,26.78,27.5,8.41,38.21,8.44
19-05-2018,42.69,23.85,65.52,48.42,37.25,17.14,29.13,8.25,16.03,6.8
20-05-2018,18.67,22.6,45.88,45.39,29.22,16.78,28.77,8.47,21.16,3.92
21-05-2018,33.17,23.98,42.68,45.56,32.24,14.69,25.72,8.61,19.16,5.86
22-05-2018,35.39,32.72,59.07,56.21,27.06,7.69,27.54,8.4,27.86,12.91
23-05-2018,35.36,24.14,77.28,48.21,33.71,3.76,27.3,8.31,36.46,12.1
24-05-2018,32.53,24.44,57.51,40.81,32.39,2.38,27.39,8.33,30.38,11.73
25-05-2018,30.05,21.67,59.34,31.65,31.54,72.64,28.58,8.56,54.59,17.27
26-05-2018,30.58,20.58,64.88,51.6,25.79,72.08,37.96,8.34,44.26,15.31
27-05-2018,29.69,20.89,58.31,41.14,26.65,49.15,38.3,8.3,27.59,8.48
28-05-2018,18.87,19.46,54.01,36.21,25.45,52.74,30.64,8.24,41.91,7.56
29-05-2018,15.29,20.06,60.34,33.23,28.48,70.91,33.08,8.36,29.36,7.98
30-05-2018,21.27,20.48,33.21,45.48,26.77,76.1,28.38,8.69,22.64,12.02
31-05-2018,22.99,20.55,40.76,72.12,25.25,66.15,31.75,22.51,33.95,15.81
01-06-2018,25.48,23.83,30.14,60.91,31.53,78.7,27.94,8.55,24.45,16.73
02-06-2018,35.43,23.29,29.28,28.84,35.45,80.13,27.59,8.57,22.31,16.03
03-06-2018,22.36,22.96,31.51,28.97,29.14,74.34,27.61,8.4,19.95,13.39
04-06-2018,20.58,22.99,30.68,29.4,26.22,76.14,26.74,9.97,20.29,17.41
05-06-2018,16.5,22.66,27.67,28.77,30.16,106.35,24.67,9.6,12.82,22.39
06-06-2018,17.25,25.11,31.11,20.37,29.59,105.97,26.52,13.415,15.35,14.35
07-06-2018,16.84,22.5,33.8,15.65,22.53,95.73,28.71,17.23,17.07,19.38
08-06-2018,15.8,21.78,31.27,13.02,22.16,67.95,22.45,29.71,19.03,9.14
09-06-2018,16.01,20.74,27.39,16.06,22.16,54.03,23.33,6.05,18.54,2.08
10-06-2018,20.85,19.98,34.23,13.45,20.62,38.81,25.38,18.11,18.04,1.89
11-06-2018,15.51,23.47,34.85,15.31,23.24,34.12,24.04,48.32,18.3,5.15
12-06-2018,13.32,23.69,31.72,25.79,23.7,30.59,25.31,91.53,22.09,9.16
13-06-2018,15.9,32.22,25.75,24.58,21.31,26.2,28.12,13.99,18.75,13.25
14-06-2018,19.26,24.55,25.37,28.15,23.31,15.39,27.75,17.41,15.67,9.14
15-06-2018,23.54,21.03,24.61,28.86,20.05,48.15,26.97,14.54,19.28,9.67
16-06-2018,18.63,21.35,25,26.36,20.48,80.91,27.12,13.25,23.54,14.24
17-06-2018,15.39,23.76,22.78,28.43,20.32,55.9,24.32,13.17,24.46,11.75
18-06-2018,14.75,23.43,26.68,31.83,20.17,80.83,23.53,14.08,21.54,14.69
19-06-2018,12.51,20.36,26.52,32.94,18.2,117.08,22.3,15.08,20.24,12.1
20-06-2018,14.01,26.73,33.71,36.14,21.39,116.89,21.56,16.37,22.97,10.55
21-06-2018,20.26,20.06,34.82,37.4,22.02,109.9,21.66,17.25,25.52,12.9
22-06-2018,31.69,20.51,45.06,28.77,28.03,87.24,19.53,16.96,30.02,14.11
23-06-2018,23.67,21.55,44.23,27.02,23.78,61.85,19.98,16.48,19.31,13.06
24-06-2018,15.51,19.88,34.98,27.8,20.56,62.02,21.91,16.47,19.87,10.06
25-06-2018,14.77,21.68,34.92,32.87,20.7,57.07,21.85,16.07,18.64,8.46
26-06-2018,13.9,21.88,34.16,28.52,23.21,39.6,22,15.85,21.35,5.81
27-06-2018,15.17,20.83,31,26.26,28.07,67.25,19.69,16.22,23.61,2.6
28-06-2018,17.93,20.9,29.01,24.33,24.39,78.12,20.66,16.14,12.34,5.59
29-06-2018,17.94,21.91,30.43,25.51,22.68,96,21.7,16.86,15.56,8.25
30-06-2018,33.04,20.79,32.89,26.48,26.4,101.49,21.64,17.53,14.69,10.12
01-07-2018,22.68,19.07,28.46,26.7,27.03,80.54,21.38,18.89,22.37,7.74
02-07-2018,27.31,19.61,25.74,26.85,24.21,76.11,21.42,18.79,20.43,9
03-07-2018,20.07,18.16,37.27,27.02,23.43,63.66,21.69,18.68,18.48,9.57
04-07-2018,15.35,19.43,31.17,26.46,22.07,64.3,21.43,18.73,16.82,6.67
05-07-2018,17.48,21.43,38.05,27.49,22.74,78.54,21.37,7.37,15.53,7.66
06-07-2018,16.86,23.44,36.71,31.56,26,90.11,21.7,9.12,16.71,8.43
07-07-2018,17.49,24.81,34.43,30.29,27.25,91.4,21.25,9.3,17.3,8.66
08-07-2018,14.5,20.86,39.85,23.81,25.11,85.25,21.09,9.2,18.38,7.14
09-07-2018,18.16,19.03,35.14,24.3,23.21,94.98,21.29,9.17,16.79,11.32
10-07-2018,20.32,19.54,28.19,23.38,21.7,70.17,21.43,10.8,15.06,14.09
11-07-2018,16.23,19.78,31.82,25.75,23.04,76.16,21.14,10.06,18.88,12.2
