Date,Bengaluru,Delhi,Hyderabad,Jaipur,Thiruvananthapuram
22-07-2019,41.71,119.66,37.69,65.44,21.08
23-07-2019,41.62,153.96,27.42,57.44,26.21
24-07-2019,63.75,156.93,33.46,58.55,29.58
25-07-2019,53.24,63.51,34.31,38.6,39.38
26-07-2019,53.25,61.26,37.9,53.06,35.43
27-07-2019,50.99,45.04,32.82,60.43,43.83
28-07-2019,49.13,46.35,32.98,41.61,44.4
29-07-2019,56.25,64.17,24.55,34.12,39.89
30-07-2019,56.4,82.81,16.54,52.87,35.98
31-07-2019,47.37,76.67,24.67,63.57,31.15
01-08-2019,51.46,85.89,22.89,60.62,33.9
02-08-2019,52.16,83.66,14.41,51.22,45.88
03-08-2019,46.6,80.35,12.53,59.18,44.31
04-08-2019,41.66,88.15,12.61,53.25,38.04
05-08-2019,29.63,104.96,16.23,69.69,48.38
06-08-2019,30.58,57.31,21.56,52.14,34.72
07-08-2019,32.65,72.98,20.37,47.41,27.68
08-08-2019,27.28,80.22,31.7,52.15,29.48
09-08-2019,30.16,61.47,36.39,47.3,23.3
10-08-2019,38.48,47.75,36.04,35.13,16.95
11-08-2019,38.27,67.15,49.51,39.86,14.72
12-08-2019,46.51,51.91,66.23,59.12,17.06
13-08-2019,46.9,56.18,83.11,86.92,21.22
14-08-2019,46.08,58.36,65.91,59.34,24.9
15-08-2019,38.14,56.28,52.66,51.56,33.7
16-08-2019,34.85,37.1,56.16,35.01,28.25
17-08-2019,52,19.51,78.62,32.83,40.48
18-08-2019,47.66,30.45,96.6,50.61,42.58
19-08-2019,49.59,86.13,75.83,78.41,39.9
20-08-2019,48.73,95.71,86.73,83.01,38.29
21-08-2019,45.86,129.46,79.58,71.19,31.07
22-08-2019,57.03,130.49,56.42,74.26,23.18
23-08-2019,44.78,142.76,61.82,65.97,22.64
24-08-2019,63.42,149.82,48.14,65.64,30.07
25-08-2019,55.99,67.82,36.89,62.54,21.39
26-08-2019,49.29,68.59,51.14,47.48,18.76
27-08-2019,47,107.99,65.41,50.73,21.27
28-08-2019,42.17,103.01,62.16,54.28,23.28
29-08-2019,44.99,90.29,53.81,51.05,31.92
30-08-2019,50.6,105.68,35.21,53.09,30.21
31-08-2019,65.26,123.23,26.77,59.9,39.05
01-09-2019,47.85,81.44,19.79,62.25,28.91
02-09-2019,27.78,101.79,31.72,59.21,26.69
03-09-2019,32.65,143.56,25.24,80.25,27.66
04-09-2019,40.46,150.39,22.06,59.59,23.82
05-09-2019,42.24,90.44,23.81,63.85,21.87
06-09-2019,44.08,89.47,26.23,66.62,19.67
07-09-2019,45.38,83.26,26.13,59.48,27.82
08-09-2019,45.47,77.01,23.28,55.73,29.74
09-09-2019,49.54,126.43,31.13,70.51,30.69
10-09-2019,58.85,144.47,39.67,115.21,27.14
11-09-2019,60.37,174.33,52.44,100.18,28.23
12-09-2019,57.11,132.61,54.59,86.65,31.68
13-09-2019,60.43,83.22,39.18,77.7,33.53
14-09-2019,56.94,69.36,43.73,58.29,30.52
15-09-2019,50.11,72.61,44.63,53.45,29.57
16-09-2019,40.74,129.47,63.7,88.55,32.68
17-09-2019,43.3,135.84,65.7,91.4,34.76
18-09-2019,63.17,97.32,47.59,77.85,22.19
19-09-2019,59.79,62.19,42.83,62.65,22.42
20-09-2019,56.78,106.47,35.92,50.06,33.56
21-09-2019,68.81,96.29,56.75,54.39,36.12
22-09-2019,53.11,65.65,56.52,38.05,33.91
23-09-2019,50.88,83.33,62.68,54.24,20.84
24-09-2019,36.94,96.22,45.66,130.77,22.3
25-09-2019,32.33,86.31,34.73,51.3,22.76
26-09-2019,41.07,69.49,37.11,41.7,26.74
27-09-2019,75.73,56.71,30.07,44.42,32.4
28-09-2019,78.07,66.98,47.6,41.82,33.81
29-09-2019,87.7,51.03,65.29,54.95,29.1
30-09-2019,53.78,81.97,65.51,72.81,20.95
01-10-2019,68.99,92.41,62.5,65.55,27.22
02-10-2019,36.79,96.13,69.4,66.13,30.45
03-10-2019,52.83,143.97,72.14,90.64,28.85
04-10-2019,58.29,94.9,70.39,73.74,31.23
05-10-2019,70.53,108.22,75.69,73.3,33.07
06-10-2019,55.82,140.15,65.7,95.61,28.23
07-10-2019,60.1,137.81,81.52,100.67,22.56
08-10-2019,39.4,116.56,83.53,92.61,19.94
09-10-2019,46.37,182.89,79.18,98.12,34.77
10-10-2019,70.64,215.18,64.26,92.04,33.61
11-10-2019,79.81,203.36,56.51,101.36,29.79
12-10-2019,75.75,209.42,61.3,107.82,28.76
13-10-2019,46.8,255.42,61.96,141.72,21.86
14-10-2019,52.98,239.47,94.89,127.04,28.23
15-10-2019,57.89,285.26,100.99,138.94,29.12
16-10-2019,57.38,279.78,104.37,128.95,33.51
17-10-2019,48.38,245.2,94.64,143.55,20.77
18-10-2019,52.13,203.39,52.38,113.18,23.21
19-10-2019,37.64,174.84,54.35,106.5,18.555
20-10-2019,39.02,203.14,51.18,152.29,13.9
21-10-2019,41.14,235,46.72,126.29,16.67
22-10-2019,35.11,213.26,71.08,150.71,22.5
23-10-2019,35.91,268.58,70.86,164,21.1
24-10-2019,46.46,346.51,43.48,129.05,33.55
25-10-2019,42.75,270.87,56.62,156.27,37.78
26-10-2019,47.6,290.6,42.64,128.1,36.28
27-10-2019,74.17,321.68,51.1,167.46,42.3
28-10-2019,78.91,420.35,94.5,317.48,35.83
29-10-2019,78,440.77,74.5,258.16,33.99
30-10-2019,42.23,454.35,72.97,142.43,10.54
31-10-2019,49.95,500.04,51.57,149.59,12.23
01-11-2019,77.15,584.15,54.11,117.66,28.72
02-11-2019,72.41,467.74,70,204.73,37.35
03-11-2019,71.78,706.58,84.04,177.57,31.71
04-11-2019,112.73,386.16,115.79,135.82,27.28
05-11-2019,144.98,296.98,157.6,147.13,50.49
06-11-2019,142.05,207.19,155.75,113.7,50.81
07-11-2019,136.66,292.56,125.56,86.17,45.02
08-11-2019,110.88,253.44,129.17,156.68,47.27
09-11-2019,102.59,230.5,146.94,144.05,31.08
10-11-2019,102.92,296.44,133.78,143.75,30.39
11-11-2019,117.91,380.54,122.21,153.14,39.27
12-11-2019,68.96,529.59,111.69,171.8,49.25
13-11-2019,81.26,541.19,120.38,213.07,67.61
14-11-2019,61.17,545.66,124.6,229.9,56.88
15-11-2019,65.78,576.12,130.32,136.96,48.96
16-11-2019,57.92,293,134.25,143.57,35.95
17-11-2019,64.16,165.5,135.59,94.09,27.57
18-11-2019,61.85,181.67,153.76,95.75,51.91
19-11-2019,51.01,218.13,159.66,93.86,45.85
