Date,DL002,DL031,KA009
2016-06-25,65.96,35.93,34.79666666666667
2016-06-26,49.14,34.97,39.00333333333333
2016-06-27,46.38,34.01,43.21
2016-06-28,43.96,27.79,45.56
2016-06-29,45.1,28.42,44.18
2016-06-30,51.49,25.84,37.66
2016-07-01,69.74,25.47,41.94
2016-07-02,56.13,37.13,35.09
2016-07-03,53.72,27.36,29.15
2016-07-04,54.04,24.58,32.37
2016-07-05,82.04,32.28,31.94
2016-07-06,86.89,38.15,32.42
2016-07-07,59.15,30.22,35.53
2016-07-08,71.88,29.33,28.85
2016-07-09,64.68,33.2,28.08
2016-07-10,64.13,27.85,25.57
2016-07-11,68.58,26.42,24.14
2016-07-12,53.42,25.62,17.58
2016-07-13,66.54,28.73,14.47
2016-07-14,61.045,35.47,18.34
2016-07-15,55.55,19.51,15.33
2016-07-16,53.48,40.05,14.03
2016-07-17,54.49,28.79,12.73
2016-07-18,47.75,25.38,15.8
2016-07-19,52.64,34.3,18.58
2016-07-20,69.02,30.07,14.64
2016-07-21,56.71,27.18,11.35
2016-07-22,61.23,30.11,17.94
2016-07-23,57.5,35.87,13.175
2016-07-24,58.94,32.14,8.41
2016-07-25,76.94,41.06,8.36
2016-07-26,74.68,48.55,10.29
2016-07-27,47.85,39.34,15.69
2016-07-28,44.19,35.51,15.8
2016-07-29,50.62,33.8,10.82
2016-07-30,40.42,32.28,13.48
2016-07-31,47.78,31.11,21.24
2016-08-01,43.47,29.03,2.09
2016-08-02,42.77,26.22,0.15
2016-08-03,38.19,23.37,0.68
2016-08-04,46.66,27.85,0.33
2016-08-05,39.2,31.72,
2016-08-06,42.26,33.41,
2016-08-07,32.81,24.24,
2016-08-08,32.95,26.66,
2016-08-09,32.34,20.15,
2016-08-10,33.14,26.57,
2016-08-11,24.13,25.12,40.48
2016-08-12,26.26,15.98,40.88
2016-08-13,39.26,25.46,40.67
2016-08-14,44.36,23.73,40.59
2016-08-15,39.52,18.1,40.86
2016-08-16,37.37,17.97,40.69
2016-08-17,32.16,19.24,40.91
2016-08-18,44.19,24.06,40.66
2016-08-19,39.88,20.28,40.69
2016-08-20,30.01,25.72,40.31
2016-08-21,24.36,21.27,40.82
2016-08-22,27.02,19.79,40.19
2016-08-23,30.24,23.93,40.51
2016-08-24,33.29,20.69,40.31
2016-08-25,39.72,25.45,41.23
2016-08-26,66.31,26.09,40.74
2016-08-27,50.74,27.005000000000003,40.27
2016-08-28,35.17,27.92,39.99
2016-08-29,36.3,24.43,40.64
2016-08-30,46.28,22.41,40.42
2016-08-31,38.41,18.57,40.41
2016-09-01,27.6,15.83,40.49
2016-09-02,38.92,18.37,40.36
2016-09-03,30.08,17.64,40.4
2016-09-04,27.3,19.18,40.42
2016-09-05,23.46,15.71,40.48
2016-09-06,21.69,14.62,40.36
2016-09-07,19.76,14.54,40.83
2016-09-08,24.17,15.49,40.73
2016-09-09,27.19,15.92,72.77
2016-09-10,24.66,17.02,104.81
2016-09-11,24.66,16.05,43.84
2016-09-12,28.74,15.82,43.545
2016-09-13,36.82,19.88,43.25
2016-09-14,26.99,20.68,43.42
2016-09-15,31.36,31.22,39.83
2016-09-16,35.22,24.58,13.14
2016-09-17,38.14,27.35,5.14
2016-09-18,39.02,24.83,14.97
2016-09-19,34.56,43.58,24.8
2016-09-20,35.18666666666667,33.86,30.77
2016-09-21,35.81333333333333,35.54,55.78
2016-09-22,36.44,25.41,35.92
2016-09-23,36.19,22.99,120.07
2016-09-24,34.7,22.12,84.68
2016-09-25,33.04,23.0,67.135
2016-09-26,41.83,29.1,49.59
2016-09-27,39.65,24.12,38.935
2016-09-28,60.63,34.36,28.28
2016-09-29,53.03,32.93,36.38
2016-09-30,43.63,28.42,55.12
2016-10-01,62.13,31.78,55.14
2016-10-02,41.68,31.83,55.23
2016-10-03,51.93,36.66,55.31999999999999
2016-10-04,59.48,41.66,55.41
2016-10-05,61.81,40.31,56.1
2016-10-06,74.65,45.44,55.42
2016-10-07,59.11,39.06,55.17
2016-10-08,52.17,36.53,38.9
2016-10-09,53.13,38.34,15.05
2016-10-10,55.81,30.84,15.09
2016-10-11,44.23,33.32,15.11
2016-10-12,40.33,27.6,15.12
2016-10-13,38.39,22.95,15.12
2016-10-14,37.84,24.94,15.13
2016-10-15,42.02,30.64,15.02
2016-10-16,42.65,31.36,14.735
2016-10-17,45.11,33.16,14.45
2016-10-18,49.64,33.53,14.91
2016-10-19,52.23,34.88,15.025
2016-10-20,63.92,30.59,15.14
2016-10-21,64.34,28.48,19.99
2016-10-22,64.75,30.38,39.56
2016-10-23,53.29,32.56,24.4
2016-10-24,44.71,30.49,23.24
2016-10-25,49.51,31.62,33.13
2016-10-26,61.23,36.64,40.67
2016-10-27,63.38,56.29,37.52
2016-10-28,64.58,76.86,34.9
2016-10-29,75.89,108.1,35.3
2016-10-30,96.19,109.15,41.04
2016-10-31,112.82,99.9,38.42
2016-11-01,124.38,86.43,37.58
2016-11-02,147.34,102.7,36.28
2016-11-03,146.22,106.3,37.76
2016-11-04,152.53,77.8,36.05
2016-11-05,141.54,90.01,28.78
2016-11-06,148.5,95.8,27.28
2016-11-07,114.13,55.23,29.92
2016-11-08,85.74,68.77,29.57
2016-11-09,78.89,72.97,28.86
2016-11-10,95.61,81.11,27.67
2016-11-11,112.67,93.92,29.6
2016-11-12,111.92,84.19,30.49
2016-11-13,100.93,74.62,39.82
2016-11-14,86.8,58.55,31.52
2016-11-15,86.57,49.41,14.03
2016-11-16,82.54,47.36,24.15
2016-11-17,62.46,39.08,34.63
2016-11-18,64.7,41.24,24.55
2016-11-19,83.3,44.91,24.89
2016-11-20,130.31,50.84,27.955
2016-11-21,136.15,44.25,31.02
2016-11-22,112.6,32.95,39.39
2016-11-23,84.07,37.23,39.88
2016-11-24,95.74,35.34,19.16
2016-11-25,47.32,26.25,17.7
2016-11-26,38.66,24.57,17.32
2016-11-27,44.73,25.41,17.2
2016-11-28,37.86,27.77,27.25
2016-11-29,86.38,46.44,27.55
2016-11-30,133.51,78.39,26.58
2016-12-01,134.35,74.99,27.97
2016-12-02,128.15,66.33,30.0
2016-12-03,89.57,37.45,37.49
2016-12-04,124.42,33.23,28.44
2016-12-05,9.83,34.76,29.23
2016-12-06,81.06,47.48,27.6
2016-12-07,86.44,43.11,26.04
2016-12-08,85.94,31.99,26.6
2016-12-09,38.85,52.57,24.42
2016-12-10,8.96,58.53,24.0
2016-12-11,0.13,54.58,32.37
2016-12-12,66.6,49.08,28.36
2016-12-13,0.92,49.32,37.1
2016-12-14,4.113333333333333,48.95,25.14
2016-12-15,7.306666666666667,46.19,27.42
2016-12-16,10.5,40.79,36.2
2016-12-17,112.42,52.37,23.44
2016-12-18,105.44,50.43,28.81
2016-12-19,110.36,49.4,20.01
2016-12-20,86.81,40.08,18.42
2016-12-21,74.56,33.63,16.41
2016-12-22,90.37,38.82,17.54
2016-12-23,135.3,69.43,17.39
2016-12-24,131.89,86.0,18.3
2016-12-25,101.99,73.9,17.31
2016-12-26,84.09,59.56,17.08
2016-12-27,72.77,53.88,16.9
2016-12-28,93.98,50.38,17.07
2016-12-29,137.49,70.18,16.91
2016-12-30,95.9,61.1,17.46
2016-12-31,89.8,56.34,17.59
2017-01-01,92.26,55.84,17.605
2017-01-02,100.81,53.56,17.62
2017-01-03,107.42,53.06,19.41
2017-01-04,116.02,47.22,24.85
2017-01-05,114.88,47.1,25.09
2017-01-06,112.1,48.65,24.47
2017-01-07,65.94,47.5,25.17
2017-01-08,50.14,40.24,25.52
2017-01-09,53.78,40.1,24.41
2017-01-10,43.19,30.69,24.92
2017-01-11,44.8,34.37,25.29
2017-01-12,61.51,44.35,26.47
2017-01-13,62.1,49.76,26.04
2017-01-14,67.47,63.8,24.76
2017-01-15,72.84,39.78,23.31
2017-01-16,78.21,47.97,23.82
2017-01-17,56.35,38.34,23.88
2017-01-18,53.95666666666667,45.73,22.76
2017-01-19,51.56333333333334,45.63,23.03
2017-01-20,49.17,43.9,24.05
2017-01-21,56.99,44.44,23.84
2017-01-22,64.81,44.98,23.035
2017-01-23,72.63,45.52,22.23
2017-01-24,81.09,55.68,23.95
2017-01-25,106.95,55.88,23.3
2017-01-26,84.32,49.8,24.99
2017-01-27,57.25,31.18,27.95
2017-01-28,46.67,28.66,26.906666666666663
2017-01-29,43.39,29.36,25.863333333333333
2017-01-30,55.31,37.89,24.82
